оренда 2-х кім квартира біля церкви Анни,7 382 грн.,"Львів, Франківський",https://www.olx.ua/d/uk/obyavlenie/orenda-2-h-km-kvartira-blya-tserkvi-anni-IDOfKK0.html#d87ad13fbe
"ЖК ""Smart Plaza Polytech"". 2-к квартира, 75м2",35 000 грн.,"Київ, Шевченківський",https://www.olx.ua/d/uk/obyavlenie/zhk-smart-plaza-polytech-2-k-kvartira-75m2-IDPTPfA.html#d87ad13fbe
Квартира с ремонтом в Пригороде Киева. 26000$,959 712 грн.,Гостомель,https://www.olx.ua/d/uk/obyavlenie/kvartira-s-remontom-v-prigorode-kieva-26000-IDPTPf7.html#d87ad13fbe
"Новий готовий будинок, Гора Бориспільський район, найкраще місце",11 073 600 грн.,Гора,https://www.olx.ua/d/uk/obyavlenie/noviy-gotoviy-budinok-gora-borisplskiy-rayon-naykrasche-mstse-IDPyu6x.html#d87ad13fbe
"классный офис!! парк Шевченко, Успенская, фасад",25 838 грн.,"Одеса, Приморський",https://www.olx.ua/d/uk/obyavlenie/klassnyy-ofis-park-shevchenko-uspenskaya-fasad-IDP3MnT.html#d87ad13fbe
"Продаж. 1 кім.квартира, проспект Миру, зуп.Гараж, вул.Гетьманська",317 443 грн.,"Кривий Ріг, Металургійний",https://www.olx.ua/d/uk/obyavlenie/prodazh-1-km-kvartira-prospekt-miru-zup-garazh-vul-getmanska-IDOXgnk.html#d87ad13fbe
Сдам дизайнерскую 3к квартиру в ЖК Комфорт Таун Левобережная,31 375 грн.,"Київ, Дніпровський",https://www.olx.ua/d/uk/obyavlenie/sdam-dizaynerskuyu-3k-kvartiru-v-zhk-komfort-taun-levoberezhnaya-IDPSLxY.html#d87ad13fbe
Продається квартира 107 м кв,2 768 400 грн.,Ужгород,https://www.olx.ua/d/uk/obyavlenie/prodatsya-kvartira-107-m-kv-IDPJihV.html#d87ad13fbe
Продаж 1к квартири 41 кв. м на шосе Хмельницьке,682 872 грн.,"Вінниця, Ленінський",https://www.olx.ua/d/uk/obyavlenie/prodazh-1k-kvartiri-41-kv-m-na-shose-hmelnitske-IDPLXgV.html#d87ad13fbe
Аренда престижного дома в КГ Лесники от Печерска 15 минут,239 928 грн.,Лісники,https://www.olx.ua/d/uk/obyavlenie/arenda-prestizhnogo-doma-v-kg-lesniki-ot-pecherska-15-minut-IDPqWGf.html#d87ad13fbe
